document_order,depth,node_type,node_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
42,6,introduction,C1S3cbvN,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,C1S3cbvN,Introduction,,,
43,6,introduction,xLSRgA2j,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,xLSRgA2j,Introduction,,,
44,6,introduction,eFxEeT2Y,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,eFxEeT2Y,Introduction,,,
45,4,section,section-combining-like-terms,Combining Like Terms,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,,,,,,,,,
46,5,introduction,8PnsECnv,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,introduction,8PnsECnv,Introduction,,,,,,
47,5,subsection,HC8v1zZR,Identifying Terms,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,subsection,HC8v1zZR,Identifying Terms,,,,,,
48,5,subsection,LZq5T8Hu,Combining Like Terms,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,subsection,LZq5T8Hu,Combining Like Terms,,,,,,
49,6,introduction,FnYgJXWd,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,subsection,LZq5T8Hu,Combining Like Terms,introduction,FnYgJXWd,Introduction,,,
50,5,subsection,h8Jt29vA,Applications,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,subsection,h8Jt29vA,Applications,,,,,,
51,5,exercises,RAON6KKq,,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,,,,,,
52,6,introduction,n7qYCAHD,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,n7qYCAHD,Introduction,,,
53,6,introduction,4LRStCHa,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,4LRStCHa,Introduction,,,
54,6,introduction,EXHPfMLE,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,EXHPfMLE,Introduction,,,
