collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,14,2,fs-id1549322,Add Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,15,2,fs-id1559303,Subtract Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,16,2,fs-id1379035,Multiply Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,17,2,fs-id2495965,Divide Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,18,1,fs-id1522244,Chapter Practice Test,PREALG/modules/m81256/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,1,m81266,Introduction to the Language of Algebra,module,,,,,PREALG/modules/m81266/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,module,,,,,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,1,1,fs-id1618903,Use Variables and Algebraic Symbols,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,2,1,fs-id2269049,Identify Expressions and Equations,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,3,1,fs-id1395398,Simplify Expressions with Exponents,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,4,1,fs-id1193286,Simplify Expressions Using the Order of Operations,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,5,1,fs-id2327335,Key Concepts,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,6,2,fs-id2327380,Practice Makes Perfect,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,7,2,fs-id2757038,Everyday Math,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,8,2,fs-id2645656,Writing Exercises,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,2,m81268,Use the Language of Algebra,section,9,2,eip-836,Self Check,PREALG/modules/m81268/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",module,,,,,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,1,1,fs-id2241263,Evaluate Algebraic Expressions,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,2,1,fs-id1733229,"Identify Terms, Coefficients, and Like Terms",PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,3,1,fs-id1232396,Simplify Expressions by Combining Like Terms,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,4,1,fs-id2707610,Translate Words to Algebraic Expressions,PREALG/modules/m81270/index.cnxml
