document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
39,6,introduction,ORCCAjoVZijnJKd,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAjoVZijnJKd,Introduction,,,
40,6,introduction,ORCCAkC6Vl8Y5hl,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAkC6Vl8Y5hl,Introduction,,,
41,6,introduction,ORCCAFY1L22p7US,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAFY1L22p7US,Introduction,,,
42,6,introduction,ORCCAIsMPDSe9g8,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAIsMPDSe9g8,Introduction,,,
43,6,introduction,ORCCA83t1xibFMu,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCA83t1xibFMu,Introduction,,,
44,6,introduction,ORCCAd19QE5yZQ9,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAd19QE5yZQ9,Introduction,,,
45,4,section,ORCCAXLqNAYJcXe,section-combining-like-terms,Combining Like Terms,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,,,,,,,,,
46,5,introduction,ORCCAc8R9RAh2D1,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,introduction,ORCCAc8R9RAh2D1,Introduction,,,,,,
47,5,subsection,ORCCAtpfMOCPWtJ,,Identifying Terms,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,subsection,ORCCAtpfMOCPWtJ,Identifying Terms,,,,,,
48,5,subsection,ORCCAdYmVbyITgs,,Combining Like Terms,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,subsection,ORCCAdYmVbyITgs,Combining Like Terms,,,,,,
